date;value
01/01/2019;70;
02/01/2019;69;
03/01/2019;46;
04/01/2019;56;
05/01/2019;69;
06/01/2019;51;
07/01/2019;57;
08/01/2019;89;
09/01/2019;65;
10/01/2019;28;
11/01/2019;31;
12/01/2019;44;
13/01/2019;48;
14/01/2019;23;
15/01/2019;28;
16/01/2019;37;
17/01/2019;53;
18/01/2019;53;
19/01/2019;20;
20/01/2019;42;
21/01/2019;52;
22/01/2019;49;
23/01/2019;50;
24/01/2019;52;
25/01/2019;47;
26/01/2019;55;
27/01/2019;68;
28/01/2019;45;
29/01/2019;30;
30/01/2019;38;
01/02/2019;21;
02/02/2019;30;
03/02/2019;30;
04/02/2019;39;
05/02/2019;46;
06/02/2019;59;
07/02/2019;79;
08/02/2019;70;
09/02/2019;58;
10/02/2019;67;
11/02/2019;28;
12/02/2019;36;
13/02/2019;33;
14/02/2019;;
15/02/2019;;
16/02/2019;70;
17/02/2019;61;
18/02/2019;54;
19/02/2019;49;
20/02/2019;54;
21/02/2019;56;
22/02/2019;46;
23/02/2019;28;
24/02/2019;24;
25/02/2019;;
26/02/2019;62;
27/02/2019;52;
28/02/2019;49;
01/03/2019;29;
02/03/2019;23;
01/03/2019;29;
02/03/2019;23;
03/03/2019;25;
04/03/2019;26;
05/03/2019;25;
06/03/2019;29;
07/03/2019;;
08/03/2019;43;
09/03/2019;27;
10/03/2019;18;
11/03/2019;12;
12/03/2019;20;
13/03/2019;17;
14/03/2019;17;
15/03/2019;20;
16/03/2019;25;
17/03/2019;19;
18/03/2019;10;
19/03/2019;12;
20/03/2019;19;
21/03/2019;29;
22/03/2019;38;
23/03/2019;35;
24/03/2019;30;
25/03/2019;30;
26/03/2019;18;
27/03/2019;22;
28/03/2019;29;
29/03/2019;32;
30/03/2019;35;
01/04/2019;43;
02/04/2019;53;
03/04/2019;16;
04/04/2019;7;
05/04/2019;17;
06/04/2019;18;
07/04/2019;8;
08/04/2019;16;
09/04/2019;22;
10/04/2019;23;
11/04/2019;11;
12/04/2019;12;
13/04/2019;18;
14/04/2019;11;
15/04/2019;15;
16/04/2019;;
17/04/2019;;
18/04/2019;;
19/04/2019;22;
20/04/2019;15;
21/04/2019;15;
22/04/2019;15;
23/04/2019;8;
24/04/2019;7;
25/04/2019;8;
26/04/2019;10;
27/04/2019;7;
28/04/2019;4;
29/04/2019;8;
30/04/2019;11;
01/05/2019;11;
02/05/2019;13;
03/05/2019;9;
04/05/2019;5;
05/05/2019;;
06/05/2019;;
07/05/2019;;
08/05/2019;;
09/05/2019;;
10/05/2019;12;
11/05/2019;13;
12/05/2019;6;
13/05/2019;6;
14/05/2019;10;
15/05/2019;7;
16/05/2019;10;
17/05/2019;9;
18/05/2019;8;
19/05/2019;8;
20/05/2019;10;
21/05/2019;13;
22/05/2019;14;
23/05/2019;12;
24/05/2019;15;
25/05/2019;14;
26/05/2019;8;
27/05/2019;13;
28/05/2019;9;
29/05/2019;;
30/05/2019;;
01/06/2019;17;
02/06/2019;13;
03/06/2019;16;
04/06/2019;;
05/06/2019;;
06/06/2019;;
07/06/2019;;
08/06/2019;16;
09/06/2019;20;
10/06/2019;19;
11/06/2019;13;
12/06/2019;13;
13/06/2019;10;
14/06/2019;18;
15/06/2019;19;
16/06/2019;10;
17/06/2019;18;
18/06/2019;19;
19/06/2019;15;
20/06/2019;21;
21/06/2019;19;
22/06/2019;11;
23/06/2019;10;
24/06/2019;17;
25/06/2019;25;
26/06/2019;32;
27/06/2019;29;
28/06/2019;28;
29/06/2019;21;
30/06/2019;21;
01/07/2019;;
02/07/2019;9;
03/07/2019;;
04/07/2019;;
05/07/2019;21;
06/07/2019;23;
07/07/2019;17;
08/07/2019;23;
09/07/2019;20;
10/07/2019;13;
11/07/2019;15;
12/07/2019;18;
13/07/2019;12;
14/07/2019;11;
15/07/2019;6;
16/07/2019;6;
17/07/2019;8;
18/07/2019;;
19/07/2019;23;
20/07/2019;16;
21/07/2019;23;
22/07/2019;26;
23/07/2019;;
24/07/2019;;
25/07/2019;;
26/07/2019;;
27/07/2019;17;
28/07/2019;8;
29/07/2019;;
30/07/2019;;
01/08/2019;24;
02/08/2019;18;
03/08/2019;;
04/08/2019;15;
05/08/2019;16;
06/08/2019;28;
07/08/2019;;
08/08/2019;18;
09/08/2019;21;
10/08/2019;18;
11/08/2019;;
12/08/2019;;
13/08/2019;;
14/08/2019;7;
15/08/2019;12;
16/08/2019;11;
17/08/2019;14;
18/08/2019;18;
19/08/2019;;
20/08/2019;;
21/08/2019;16;
22/08/2019;20;
23/08/2019;21;
24/08/2019;;
25/08/2019;;
26/08/2019;;
27/08/2019;27;
28/08/2019;15;
29/08/2019;7;
30/08/2019;16;
01/09/2019;17;
02/09/2019;14;
03/09/2019;8;
04/09/2019;13;
05/09/2019;11;
06/09/2019;4;
07/09/2019;5;
08/09/2019;1;
09/09/2019;7;
10/09/2019;10;
11/09/2019;11;
12/09/2019;13;
13/09/2019;18;
14/09/2019;22;
15/09/2019;19;
16/09/2019;24;
17/09/2019;21;
18/09/2019;21;
19/09/2019;14;
20/09/2019;10;
21/09/2019;17;
22/09/2019;;
23/09/2019;;
24/09/2019;10;
25/09/2019;13;
26/09/2019;24;
27/09/2019;24;
28/09/2019;24;
29/09/2019;11;
30/09/2019;11;
01/10/2019;16;
02/10/2019;6;
03/10/2019;4;
04/10/2019;9;
05/10/2019;17;
06/10/2019;27;
07/10/2019;10;
08/10/2019;20;
09/10/2019;17;
10/10/2019;22;
11/10/2019;20;
12/10/2019;28;
13/10/2019;31;
14/10/2019;35;
15/10/2019;14;
16/10/2019;9;
17/10/2019;12;
18/10/2019;;
19/10/2019;;
20/10/2019;;
21/10/2019;;
22/10/2019;;
23/10/2019;;
24/10/2019;12;
25/10/2019;15;
26/10/2019;12;
27/10/2019;11;
28/10/2019;22;
29/10/2019;58;
30/10/2019;35;
01/11/2019;35;
02/11/2019;36;
03/11/2019;25;
04/11/2019;24;
05/11/2019;22;
06/11/2019;30;
07/11/2019;30;
08/11/2019;11;
09/11/2019;26;
10/11/2019;33;
11/11/2019;30;
12/11/2019;22;
13/11/2019;29;
14/11/2019;21;
15/11/2019;17;
16/11/2019;16;
17/11/2019;13;
18/11/2019;17;
19/11/2019;14;
20/11/2019;16;
21/11/2019;23;
22/11/2019;10;
23/11/2019;6;
24/11/2019;11;
25/11/2019;15;
26/11/2019;39;
27/11/2019;15;
28/11/2019;31;
29/11/2019;44;
30/11/2019;39;
01/12/2019;15;
02/12/2019;27;
03/12/2019;27;
04/12/2019;31;
05/12/2019;53;
06/12/2019;68;
07/12/2019;;
08/12/2019;58;
09/12/2019;57;
10/12/2019;43;
11/12/2019;33;
12/12/2019;44;
13/12/2019;43;
14/12/2019;48;
15/12/2019;47;
16/12/2019;51;
17/12/2019;27;
18/12/2019;32;
19/12/2019;22;
20/12/2019;7;
21/12/2019;12;
22/12/2019;5;
23/12/2019;5;
24/12/2019;;
25/12/2019;;
26/12/2019;;
27/12/2019;;
28/12/2019;;
29/12/2019;;
30/12/2019;;
01/01/2020;;
02/01/2020;;
03/01/2020;;
04/01/2020;;
05/01/2020;;
06/01/2020;;
07/01/2020;;
08/01/2020;;
09/01/2020;53;
10/01/2020;36;
11/01/2020;29;
12/01/2020;17;
13/01/2020;49;
14/01/2020;92;
15/01/2020;86;
16/01/2020;67;
17/01/2020;59;
18/01/2020;34;
19/01/2020;39;
20/01/2020;31;
21/01/2020;58;
22/01/2020;70;
23/01/2020;69;
24/01/2020;88;
25/01/2020;72;
26/01/2020;79;
27/01/2020;72;
28/01/2020;71;
29/01/2020;49;
30/01/2020;31;
01/02/2020;55;
02/02/2020;61;
03/02/2020;43;
04/02/2020;13;
05/02/2020;18;
06/02/2020;27;
07/02/2020;42;
08/02/2020;40;
09/02/2020;50;
10/02/2020;52;
11/02/2020;7;
12/02/2020;11;
13/02/2020;26;
14/02/2020;39;
15/02/2020;39;
16/02/2020;59;
17/02/2020;70;
18/02/2020;56;
19/02/2020;29;
20/02/2020;21;
21/02/2020;36;
22/02/2020;58;
23/02/2020;64;
24/02/2020;40;
25/02/2020;58;
26/02/2020;12;
27/02/2020;9;
28/02/2020;19;
29/02/2020;23;
01/03/2020;26;
01/03/2020;26;
02/03/2020;25;
03/03/2020;13;
04/03/2020;;
05/03/2020;20;
06/03/2020;29;
07/03/2020;15;
08/03/2020;16;
09/03/2020;28;
10/03/2020;25;
11/03/2020;27;
12/03/2020;13;
13/03/2020;17;
14/03/2020;14;
15/03/2020;14;
16/03/2020;19;
17/03/2020;24;
18/03/2020;30;
19/03/2020;25;
20/03/2020;26;
21/03/2020;21;
22/03/2020;29;
23/03/2020;5;
24/03/2020;8;
25/03/2020;13;
26/03/2020;12;
27/03/2020;;
28/03/2020;;
29/03/2020;;
30/03/2020;;
